,PassengerId,Pclass,Sex,SibSp,Parch,Fare,Embarked
47,939.0,3,266.0,0,0,7.75,46.0
48,940.0,1,152.0,0,0,72.80735,102.0
49,941.0,3,152.0,0,2,15.9,270.0
50,942.0,1,266.0,1,0,60.0,270.0
51,943.0,2,266.0,0,0,15.0333,102.0
52,944.0,2,152.0,2,1,23.0,270.0
53,945.0,1,152.0,3,2,72.80735,270.0
54,946.0,2,266.0,0,0,15.5792,102.0
55,947.0,3,266.0,4,1,29.125,46.0
56,948.0,3,266.0,0,0,7.8958,270.0
57,949.0,3,266.0,0,0,7.65,270.0
58,950.0,3,266.0,1,0,16.1,270.0
59,951.0,1,152.0,0,0,72.80735,102.0
60,952.0,3,266.0,0,0,7.8958,270.0
61,953.0,2,266.0,0,0,13.5,270.0
62,954.0,3,266.0,0,0,7.75,270.0
63,955.0,3,152.0,0,0,7.725,46.0
64,956.0,1,266.0,2,2,72.80735,102.0
65,957.0,2,152.0,0,0,21.0,270.0
66,958.0,3,152.0,0,0,7.8792,46.0
67,959.0,1,266.0,0,0,42.4,270.0
68,960.0,1,266.0,0,0,28.5375,102.0
69,961.0,1,152.0,1,4,72.80735,270.0
70,962.0,3,152.0,0,0,7.75,46.0
71,963.0,3,266.0,0,0,7.8958,270.0
72,964.0,3,152.0,0,0,7.925,270.0
73,965.0,1,266.0,0,0,27.7208,102.0
74,966.0,1,152.0,0,0,72.80735,102.0
75,967.0,1,266.0,0,0,72.80735,102.0
76,968.0,3,266.0,0,0,8.05,270.0
77,969.0,1,152.0,2,0,25.7,270.0
78,970.0,2,266.0,0,0,13.0,270.0
79,971.0,3,152.0,0,0,7.75,46.0
80,972.0,3,266.0,1,1,15.2458,102.0
81,973.0,1,266.0,1,0,72.80735,270.0
82,974.0,1,266.0,0,0,26.0,270.0
83,975.0,3,266.0,0,0,7.8958,270.0
84,976.0,2,266.0,0,0,10.7083,46.0
85,977.0,3,266.0,1,0,14.4542,102.0
86,978.0,3,152.0,0,0,7.8792,46.0
87,979.0,3,152.0,0,0,8.05,270.0
88,980.0,3,152.0,0,0,7.75,46.0
89,981.0,2,266.0,1,1,23.0,270.0
90,982.0,3,152.0,1,0,13.9,270.0
91,983.0,3,266.0,0,0,7.775,270.0
92,984.0,1,152.0,1,2,52.0,270.0
93,985.0,3,266.0,0,0,8.05,270.0
94,986.0,1,266.0,0,0,26.0,102.0
95,987.0,3,266.0,0,0,7.7958,270.0
96,988.0,1,152.0,1,0,72.80735,270.0
97,989.0,3,266.0,0,0,7.925,270.0
98,990.0,3,152.0,0,0,7.8542,270.0
99,991.0,3,266.0,0,0,8.05,270.0
100,992.0,1,152.0,1,0,55.4417,102.0
101,993.0,2,266.0,1,0,26.0,270.0
102,994.0,3,266.0,0,0,7.75,46.0
103,995.0,3,266.0,0,0,7.775,270.0
104,996.0,3,152.0,1,1,8.5167,102.0
105,997.0,3,266.0,0,0,22.525,270.0
106,998.0,3,266.0,0,0,7.8208,46.0
107,999.0,3,266.0,0,0,7.75,46.0
108,1000.0,3,266.0,0,0,8.7125,270.0
109,1001.0,2,266.0,0,0,13.0,270.0
110,1002.0,2,266.0,0,0,15.0458,102.0
111,1003.0,3,152.0,0,0,7.7792,46.0
112,1004.0,1,152.0,0,0,31.6792,102.0
113,1005.0,3,152.0,0,0,7.2833,46.0
114,1006.0,1,152.0,1,0,72.80735,270.0
115,1007.0,3,266.0,1,0,14.4542,102.0
116,1008.0,3,266.0,0,0,6.4375,102.0
117,1009.0,3,152.0,1,1,16.7,270.0
118,1010.0,1,266.0,0,0,72.80735,102.0
119,1011.0,2,152.0,1,0,26.0,270.0
120,1012.0,2,152.0,0,0,15.75,270.0
121,1013.0,3,266.0,1,0,7.75,46.0
122,1014.0,1,152.0,1,0,57.75,102.0
123,1015.0,3,266.0,0,0,7.25,270.0
124,1016.0,3,266.0,0,0,7.75,46.0
125,1017.0,3,152.0,0,1,16.1,270.0
126,1018.0,3,266.0,0,0,7.7958,270.0
127,1019.0,3,152.0,2,0,23.25,46.0
128,1020.0,2,266.0,0,0,13.0,270.0
129,1021.0,3,266.0,0,0,8.05,270.0
130,1022.0,3,266.0,0,0,8.05,270.0
131,1023.0,1,266.0,0,0,28.5,102.0
132,1024.0,3,152.0,0,4,25.4667,270.0
133,1025.0,3,266.0,1,0,6.4375,102.0
134,1026.0,3,266.0,0,0,7.8958,270.0
135,1027.0,3,266.0,0,0,7.8542,270.0
136,1028.0,3,266.0,0,0,7.225,102.0
137,1029.0,2,266.0,0,0,13.0,270.0
138,1030.0,3,152.0,0,0,8.05,270.0
139,1031.0,3,266.0,1,6,46.9,270.0
140,1032.0,3,152.0,5,2,46.9,270.0
141,1033.0,1,152.0,0,0,72.80735,270.0
142,1034.0,1,266.0,1,3,72.80735,102.0
143,1035.0,2,266.0,0,0,26.0,270.0
144,1036.0,1,266.0,0,0,26.55,270.0
145,1037.0,3,266.0,3,0,18.0,270.0
146,1038.0,1,266.0,0,0,51.8625,270.0
147,1039.0,3,266.0,0,0,8.05,270.0
148,1040.0,1,266.0,0,0,26.55,270.0
149,1041.0,2,266.0,1,1,26.0,270.0
150,1042.0,1,152.0,0,1,72.80735,102.0
151,1043.0,3,266.0,0,0,7.8958,102.0
152,1044.0,3,266.0,0,0,36.0,270.0
153,1045.0,3,152.0,0,2,12.1833,270.0
154,1046.0,3,266.0,4,2,31.3875,270.0
155,1047.0,3,266.0,0,0,7.55,270.0
156,1048.0,1,152.0,0,0,72.80735,270.0
157,1049.0,3,152.0,0,0,7.8542,270.0
158,1050.0,1,266.0,0,0,26.55,270.0
159,1051.0,3,152.0,0,2,13.775,270.0
160,1052.0,3,152.0,0,0,7.7333,46.0
161,1053.0,3,266.0,1,1,15.2458,102.0
162,1054.0,2,152.0,0,0,13.5,270.0
163,1055.0,3,266.0,0,0,7.0,270.0
164,1056.0,2,266.0,0,0,13.0,270.0
165,1057.0,3,152.0,1,1,22.025,270.0
166,1058.0,1,266.0,0,0,50.4958,102.0
167,1059.0,3,266.0,2,2,34.375,270.0
168,1060.0,1,152.0,0,0,27.7208,102.0
169,1061.0,3,152.0,0,0,8.9625,270.0
170,1062.0,3,266.0,0,0,7.55,270.0
171,1063.0,3,266.0,0,0,7.225,102.0
172,1064.0,3,266.0,1,0,13.9,270.0
173,1065.0,3,266.0,0,0,7.2292,102.0
174,1066.0,3,266.0,1,5,31.3875,270.0
175,1067.0,2,152.0,0,2,39.0,270.0
176,1068.0,2,152.0,0,0,36.75,270.0
177,1069.0,1,266.0,1,0,55.4417,102.0
178,1070.0,2,152.0,0,3,39.0,270.0
179,1071.0,1,152.0,0,2,72.80735,102.0
180,1072.0,2,266.0,0,0,13.0,270.0
181,1073.0,1,266.0,1,1,72.80735,102.0
182,1074.0,1,152.0,1,0,53.1,270.0
183,1075.0,3,266.0,0,0,7.75,46.0
184,1076.0,1,152.0,1,1,72.80735,102.0
185,1077.0,2,266.0,0,0,16.0,270.0
186,1078.0,2,152.0,0,1,21.0,270.0
187,1079.0,3,266.0,2,0,8.05,270.0
188,1080.0,3,152.0,8,2,69.55,270.0
189,1081.0,2,266.0,0,0,13.0,270.0
190,1082.0,2,266.0,1,0,26.0,270.0
191,1083.0,1,266.0,0,0,26.0,270.0
192,1084.0,3,266.0,1,1,14.5,270.0
193,1085.0,2,266.0,0,0,12.35,46.0
194,1086.0,2,266.0,0,2,32.5,270.0
195,1087.0,3,266.0,0,0,7.8542,270.0
196,1088.0,1,266.0,0,2,72.80735,102.0
197,1089.0,3,152.0,0,0,7.775,270.0
198,1090.0,2,266.0,0,0,10.5,270.0
199,1091.0,3,152.0,0,0,8.1125,270.0
200,1092.0,3,152.0,0,0,15.5,46.0
201,1093.0,3,266.0,0,2,14.4,270.0
202,1094.0,1,266.0,1,0,72.80735,102.0
203,1095.0,2,152.0,1,1,26.0,270.0
204,1096.0,2,266.0,0,0,10.5,270.0
205,1097.0,1,266.0,0,0,25.7417,102.0
206,1098.0,3,152.0,0,0,7.75,46.0
207,1099.0,2,266.0,0,0,10.5,270.0
208,1100.0,1,152.0,0,0,27.7208,102.0
209,1101.0,3,266.0,0,0,7.8958,270.0
210,1102.0,3,266.0,0,0,22.525,270.0
211,1103.0,3,266.0,0,0,7.05,270.0
212,1104.0,2,266.0,0,0,72.80735,270.0
213,1105.0,2,152.0,1,0,26.0,270.0
214,1106.0,3,152.0,4,2,7.775,270.0
215,1107.0,1,266.0,0,0,42.5,270.0
216,1108.0,3,152.0,0,0,7.8792,46.0
217,1109.0,1,266.0,1,1,72.80735,270.0
218,1110.0,1,152.0,1,1,72.80735,102.0
219,1111.0,3,266.0,0,0,8.05,270.0
220,1112.0,2,152.0,1,0,13.8583,102.0
221,1113.0,3,266.0,0,0,8.05,270.0
222,1114.0,2,152.0,0,0,10.5,270.0
223,1115.0,3,266.0,0,0,7.7958,270.0
224,1116.0,1,152.0,0,0,27.4458,102.0
225,1117.0,3,152.0,0,2,15.2458,102.0
226,1118.0,3,266.0,0,0,7.7958,270.0
227,1119.0,3,152.0,0,0,7.75,46.0
228,1120.0,3,266.0,0,0,15.1,270.0
229,1121.0,2,266.0,0,0,13.0,270.0
230,1122.0,2,266.0,0,0,65.0,270.0
231,1123.0,1,152.0,0,0,26.55,270.0
232,1124.0,3,266.0,1,0,6.4958,270.0
233,1125.0,3,266.0,0,0,7.8792,46.0
234,1126.0,1,266.0,1,0,71.2833,102.0
235,1127.0,3,266.0,0,0,7.8542,270.0
236,1128.0,1,266.0,1,0,72.80735,102.0
237,1129.0,3,266.0,0,0,7.225,102.0
238,1130.0,2,152.0,1,1,13.0,270.0
239,1131.0,1,152.0,1,0,72.80735,102.0
240,1132.0,1,152.0,0,0,27.7208,102.0
241,1133.0,2,152.0,0,2,30.0,270.0
242,1134.0,1,266.0,1,1,72.80735,102.0
243,1135.0,3,266.0,0,0,7.8875,270.0
244,1136.0,3,266.0,1,2,23.45,270.0
245,1137.0,1,266.0,1,0,51.8625,270.0
246,1138.0,2,152.0,0,0,21.0,270.0
247,1139.0,2,266.0,1,1,32.5,270.0
248,1140.0,2,152.0,1,0,26.0,270.0
249,1141.0,3,152.0,1,0,14.4542,102.0
250,1142.0,2,152.0,1,2,27.75,270.0
251,1143.0,3,266.0,0,0,7.925,270.0
252,1144.0,1,266.0,1,0,72.80735,102.0
253,1145.0,3,266.0,0,0,9.325,270.0
254,1146.0,3,266.0,0,0,9.5,270.0
255,1147.0,3,266.0,0,0,7.55,270.0
256,1148.0,3,266.0,0,0,7.75,46.0
257,1149.0,3,266.0,0,0,8.05,270.0
258,1150.0,2,152.0,0,0,13.0,270.0
259,1151.0,3,266.0,0,0,7.775,270.0
260,1152.0,3,266.0,1,0,17.4,270.0
261,1153.0,3,266.0,0,0,7.8542,270.0
262,1154.0,2,152.0,0,2,23.0,270.0
263,1155.0,3,152.0,1,1,12.1833,270.0
264,1156.0,2,266.0,0,0,12.7375,102.0
265,1157.0,3,266.0,0,0,7.8958,270.0
266,1158.0,1,266.0,0,0,0.0,270.0
267,1159.0,3,266.0,0,0,7.55,270.0
268,1160.0,3,152.0,0,0,8.05,270.0
269,1161.0,3,266.0,0,0,8.6625,270.0
270,1162.0,1,266.0,0,0,72.80735,102.0
271,1163.0,3,266.0,0,0,7.75,46.0
272,1164.0,1,152.0,1,0,72.80735,102.0
273,1165.0,3,152.0,1,0,15.5,46.0
274,1166.0,3,266.0,0,0,7.225,102.0
275,1167.0,2,152.0,1,0,26.0,270.0
276,1168.0,2,266.0,0,0,10.5,270.0
277,1169.0,2,266.0,1,0,26.0,270.0
278,1170.0,2,266.0,1,0,21.0,270.0
279,1171.0,2,266.0,0,0,10.5,270.0
280,1172.0,3,152.0,0,0,8.6625,270.0
281,1173.0,3,266.0,1,1,13.775,270.0
282,1174.0,3,152.0,0,0,7.75,46.0
283,1175.0,3,152.0,1,1,15.2458,102.0
284,1176.0,3,152.0,1,1,20.2125,270.0
285,1177.0,3,266.0,0,0,7.25,270.0
286,1178.0,3,266.0,0,0,7.25,270.0
287,1179.0,1,266.0,1,0,72.80735,270.0
288,1180.0,3,266.0,0,0,7.2292,102.0
289,1181.0,3,266.0,0,0,8.05,270.0
290,1182.0,1,266.0,0,0,39.6,270.0
291,1183.0,3,152.0,0,0,6.95,46.0
292,1184.0,3,266.0,0,0,7.2292,102.0
293,1185.0,1,266.0,1,1,72.80735,270.0
294,1186.0,3,266.0,0,0,9.5,270.0
295,1187.0,3,266.0,0,0,7.8958,270.0
296,1188.0,2,152.0,1,2,41.5792,102.0
297,1189.0,3,266.0,2,0,21.6792,102.0
298,1190.0,1,266.0,0,0,45.5,270.0
299,1191.0,3,266.0,0,0,7.8542,270.0
300,1192.0,3,266.0,0,0,7.775,270.0
301,1193.0,2,266.0,0,0,15.0458,102.0
302,1194.0,2,266.0,0,1,21.0,270.0
303,1195.0,3,266.0,0,0,8.6625,270.0
304,1196.0,3,152.0,0,0,7.75,46.0
305,1197.0,1,152.0,1,1,26.55,270.0
306,1198.0,1,266.0,1,2,72.80735,270.0
307,1199.0,3,266.0,0,1,9.35,270.0
308,1200.0,1,266.0,1,1,72.80735,270.0
309,1201.0,3,152.0,1,0,14.1083,270.0
310,1202.0,3,266.0,0,0,8.6625,270.0
311,1203.0,3,266.0,0,0,7.225,102.0
312,1204.0,3,266.0,0,0,7.575,270.0
313,1205.0,3,152.0,0,0,7.75,46.0
314,1206.0,1,152.0,0,0,72.80735,102.0
315,1207.0,3,152.0,0,0,7.7333,46.0
316,1208.0,1,266.0,1,0,72.80735,102.0
317,1209.0,2,266.0,0,0,10.5,270.0
318,1210.0,3,266.0,0,0,7.8542,270.0
319,1211.0,2,266.0,2,0,31.5,270.0
320,1212.0,3,266.0,0,0,7.775,270.0
321,1213.0,3,266.0,0,0,7.2292,102.0
322,1214.0,2,266.0,0,0,13.0,270.0
323,1215.0,1,266.0,0,0,26.55,270.0
324,1216.0,1,152.0,0,0,72.80735,270.0
325,1217.0,3,266.0,0,0,7.05,270.0
326,1218.0,2,152.0,2,1,39.0,270.0
327,1219.0,1,266.0,0,0,72.80735,102.0
328,1220.0,2,266.0,1,0,26.0,270.0
329,1221.0,2,266.0,0,0,13.0,270.0
330,1222.0,2,152.0,0,2,36.75,270.0
331,1223.0,1,266.0,0,0,29.7,102.0
332,1224.0,3,266.0,0,0,7.225,102.0
333,1225.0,3,152.0,1,1,15.7417,102.0
334,1226.0,3,266.0,0,0,7.8958,270.0
335,1227.0,1,266.0,0,0,26.0,270.0
336,1228.0,2,266.0,0,0,13.0,270.0
337,1229.0,3,266.0,0,2,7.2292,102.0
338,1230.0,2,266.0,0,0,31.5,270.0
339,1231.0,3,266.0,0,0,7.2292,102.0
340,1232.0,2,266.0,0,0,10.5,270.0
341,1233.0,3,266.0,0,0,7.5792,270.0
342,1234.0,3,266.0,1,9,69.55,270.0
343,1235.0,1,152.0,0,1,72.80735,102.0
344,1236.0,3,266.0,1,1,14.5,270.0
345,1237.0,3,152.0,0,0,7.65,270.0
346,1238.0,2,266.0,0,0,13.0,270.0
347,1239.0,3,152.0,0,0,7.2292,102.0
348,1240.0,2,266.0,0,0,13.5,270.0
349,1241.0,2,152.0,0,0,21.0,270.0
350,1242.0,1,152.0,0,1,63.3583,102.0
351,1243.0,2,266.0,0,0,10.5,270.0
352,1244.0,2,266.0,0,0,72.80735,270.0
353,1245.0,2,266.0,1,2,65.0,270.0
354,1246.0,3,152.0,1,2,20.575,270.0
355,1247.0,1,266.0,0,0,26.0,270.0
356,1248.0,1,152.0,2,0,51.4792,270.0
357,1249.0,3,266.0,0,0,7.8792,270.0
358,1250.0,3,266.0,0,0,7.75,46.0
359,1251.0,3,152.0,1,0,15.55,270.0
360,1252.0,3,266.0,8,2,69.55,270.0
361,1253.0,2,152.0,1,1,37.0042,102.0
362,1254.0,2,152.0,0,0,21.0,270.0
363,1255.0,3,266.0,0,0,8.6625,270.0
364,1256.0,1,152.0,1,0,55.4417,102.0
365,1257.0,3,152.0,1,9,69.55,270.0
366,1258.0,3,266.0,1,0,14.4583,102.0
367,1259.0,3,152.0,0,0,39.6875,270.0
368,1260.0,1,152.0,0,1,59.4,102.0
369,1261.0,2,266.0,0,0,13.8583,102.0
370,1262.0,2,266.0,1,0,11.5,270.0
371,1263.0,1,152.0,0,0,72.80735,102.0
372,1264.0,1,266.0,0,0,0.0,270.0
373,1265.0,2,266.0,0,0,13.0,270.0
374,1266.0,1,152.0,1,1,72.80735,270.0
375,1267.0,1,152.0,0,0,72.80735,102.0
376,1268.0,3,152.0,2,0,8.6625,270.0
377,1269.0,2,266.0,0,0,11.5,270.0
378,1270.0,1,266.0,0,0,50.0,270.0
379,1271.0,3,266.0,4,2,31.3875,270.0
380,1272.0,3,266.0,0,0,7.75,46.0
381,1273.0,3,266.0,0,0,7.8792,46.0
382,1274.0,3,152.0,0,0,14.5,270.0
383,1275.0,3,152.0,1,0,16.1,270.0
384,1276.0,2,266.0,0,0,12.875,270.0
385,1277.0,2,152.0,1,2,65.0,270.0
386,1278.0,3,266.0,0,0,7.775,270.0
387,1279.0,2,266.0,0,0,13.0,270.0
388,1280.0,3,266.0,0,0,7.75,46.0
389,1281.0,3,266.0,3,1,21.075,270.0
390,1282.0,1,266.0,0,0,72.80735,270.0
391,1283.0,1,152.0,0,1,39.4,270.0
392,1284.0,3,266.0,0,2,20.25,270.0
393,1285.0,2,266.0,0,0,10.5,270.0
394,1286.0,3,266.0,3,1,22.025,270.0
395,1287.0,1,152.0,1,0,60.0,270.0
396,1288.0,3,266.0,0,0,7.25,46.0
397,1289.0,1,152.0,1,1,72.80735,102.0
398,1290.0,3,266.0,0,0,7.775,270.0
399,1291.0,3,266.0,0,0,7.7333,46.0
400,1292.0,1,152.0,0,0,72.80735,270.0
401,1293.0,2,266.0,1,0,21.0,270.0
402,1294.0,1,152.0,0,1,59.4,102.0
403,1295.0,1,266.0,0,0,47.1,270.0
404,1296.0,1,266.0,1,0,27.7208,102.0
405,1297.0,2,266.0,0,0,13.8625,102.0
406,1298.0,2,266.0,1,0,10.5,270.0
407,1299.0,1,266.0,1,1,72.80735,102.0
408,1300.0,3,152.0,0,0,7.7208,46.0
409,1301.0,3,152.0,1,1,13.775,270.0
410,1302.0,3,152.0,0,0,7.75,46.0
411,1303.0,1,152.0,1,0,72.80735,46.0
412,1304.0,3,152.0,0,0,7.775,270.0
413,1305.0,3,266.0,0,0,8.05,270.0
414,1306.0,1,152.0,0,0,72.80735,102.0
415,1307.0,3,266.0,0,0,7.25,270.0
416,1308.0,3,266.0,0,0,8.05,270.0
417,1309.0,3,266.0,1,1,22.3583,102.0
